after make,after miss,first,h=1,h=1/2,h=2,h=3,h=4,n,overall,player,season
0.7948717948717948,0.8,0.75,3.333493265453967,1.3694743104375675,7.02189888745977,11.3482277139518,9.348044855392487,75.0,0.8,A.J. Price,2009 - 2010
0.7317073170731707,0.5555555555555556,0.6842105263157895,1.9329554454126594,0.44284835019638535,0.8444272350262452,-0.9139507578287862,1.4683166510555594,91.0,0.6923076923076923,A.J. Price,2010 - 2011
0.8235294117647058,0.625,0.75,1.3483288853178053,0.2670290694730113,-5.049916652267193,-3.899188362460066,-3.899188362460066,35.0,0.8,A.J. Price,2011 - 2012
0.7428571428571429,0.7,0.8260869565217391,2.523582968060822,1.4862715295109439,3.7255237304219264,4.058731761423587,4.294297832736348,62.0,0.7903225806451613,A.J. Price,2012 - 2013
0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,A.J. Price,2013 - 2014
0.625,0.7142857142857143,0.5,3.0171430591051838,1.2408385782834088,4.18962620237939,0.9459053375140734,0.9459053375140734,17.0,0.6470588235294118,A.J. Price,2014 - 2015
0.8181818181818182,0.75,0.84,3.610842765897061,1.7378203767068072,6.463420259500936,9.237776635608697,7.097351007315865,60.0,0.85,Aaron Brooks,2007 - 2008
0.8646616541353384,0.92,0.7727272727272727,-1.3653885208702548,-0.69166011743593,4.503206135618029,8.884855589667808,9.189649391243904,218.0,0.8532110091743119,Aaron Brooks,2008 - 2009
0.825136612021858,0.8636363636363636,0.7662337662337663,1.5683071241948028,0.767060781466455,-4.19238247660553,-2.5126684037293217,1.6095928037063914,298.0,0.8221476510067114,Aaron Brooks,2009 - 2010
0.8636363636363636,0.9230769230769231,0.8666666666666667,1.408056317568267,-0.638287240926374,5.224838822873977,12.253830880270755,13.270948325068545,140.0,0.8857142857142857,Aaron Brooks,2010 - 2011
0.76,0.8,0.6923076923076923,2.6303061962700838,1.1529485181878982,4.828804463561809,3.637294794459237,4.448225010675571,55.0,0.7636363636363637,Aaron Brooks,2012 - 2013
0.9074074074074074,0.8181818181818182,0.7777777777777778,0.9243266787558468,1.8435057035264037,5.149750476363309,10.676454209081342,12.229689215347094,95.0,0.8736842105263158,Aaron Brooks,2013 - 2014
0.8543689320388349,0.6,0.8305084745762712,-3.944991242395133,-5.790332694240192,1.2780932493966475,9.280411042589947,10.10244638405129,181.0,0.8232044198895028,Aaron Brooks,2014 - 2015
0.78125,0.8181818181818182,0.68,2.244153272196371,1.1689279651665458,4.253198603917227,-0.3457466176460713,0.8049816721610625,62.0,0.7741935483870968,Aaron Brooks,2015 - 2016
0.7241379310344828,0.6,0.7142857142857143,3.2332891558786656,1.4176395058671432,4.697398955671133,1.5205948649788326,1.5205948649788326,61.0,0.7213114754098361,Aaron Gordon,2014 - 2015
0.7263157894736842,0.66,0.5555555555555556,-0.7606987808308929,2.03980679351028,2.1600374430294096,10.119096244496632,9.706100385726756,193.0,0.6683937823834197,Aaron Gordon,2015 - 2016
0.6,0.5,0.5675675675675675,3.7083251932544954,1.3195970977109823,-0.8302721949994236,0.6702826521846816,-2.369368855304174,99.0,0.5656565656565656,Aaron Gray,2007 - 2008
0.6190476190476191,0.5882352941176471,0.5185185185185185,3.286056802463108,1.746822178103713,6.67867914867756,5.543430003058802,5.543430003058802,59.0,0.576271186440678,Aaron Gray,2008 - 2009
0.6666666666666666,0.6,0.7142857142857143,4.408026830454787,2.6249622806981776,1.193351385953946,2.393769755755301,2.393769755755301,28.0,0.7142857142857143,Aaron Gray,2009 - 2010
0.4666666666666667,0.5714285714285714,0.42105263157894735,4.29749434285425,1.227414090790802,9.952201415899324,2.2572324473181737,2.8325965922217335,42.0,0.47619047619047616,Aaron Gray,2010 - 2011
0.6111111111111112,0.4166666666666667,0.5217391304347826,2.0898316505927994,0.6987853217138138,4.858050506106537,3.3404220759519205,3.3404220759519205,47.0,0.5319148936170213,Aaron Gray,2011 - 2012
0.7333333333333333,0.4375,0.42105263157894735,-1.1632345258757297,1.1559552781196487,0.5861485091063088,2.6542960441673813,2.6542960441673813,44.0,0.5227272727272727,Aaron Gray,2012 - 2013
0.5714285714285714,0.5,0.5454545454545454,3.17629864507483,1.5256557205755215,4.092884730558339,3.2819545143420115,3.2819545143420115,20.0,0.55,Aaron Gray,2013 - 2014
0.2,0.42857142857142855,0.6666666666666666,-1.8471585812398246,0.7718840233881359,-5.041189366110913,-5.041189366110913,-5.041189366110913,12.0,0.4166666666666667,Aaron Harrison,2015 - 2016
0.6923076923076923,0.75,0.8181818181818182,2.410928700760472,1.7396729245560927,2.342733709487831,2.9180978543913945,2.9180978543913945,22.0,0.8181818181818182,Aaron Williams,2006 - 2007
0.8888888888888888,0.5,0.6363636363636364,-1.9487481663712778,0.3942241584522108,0.5004360166860664,1.4404432751775396,2.251373491393867,18.0,0.7777777777777778,Aaron Williams,2007 - 2008
0.7741935483870968,0.625,0.8181818181818182,2.679738345679155,0.9606051262882005,6.608238163400941,7.011879204461323,4.8714535761684985,55.0,0.8,Acie Law,2007 - 2008
0.7941176470588235,0.8,0.782608695652174,3.355437114163138,1.5917845166755171,7.821014244988575,11.846613476414191,2.645181805136744,61.0,0.819672131147541,Acie Law,2008 - 2009
0.7142857142857143,0.8888888888888888,0.7222222222222222,0.4420337553299092,-1.3513246273053383,4.790911059538587,4.245721095909239,6.653666704561111,49.0,0.7755102040816326,Acie Law,2009 - 2010
