%,h=1,h=1/2,h=2,h=3,n,player,season
0.6441717791411042,-9.96060909972121,-10.461575458201793,-0.7706469846122843,-1.5930938187050572,163.0,Thaddeus Young,2015 - 2016
0.5774647887323944,-9.837257606110384,-0.121722631276441,-9.415267875489718,-7.257024845799364,71.0,James Johnson,2015 - 2016
0.8543689320388349,-9.82042624227114,1.1840477844036172,-11.706803383573458,-4.976088042250012,412.0,Danilo Gallinari,2010 - 2011
0.7401315789473685,-9.646284569720024,1.7991324494865921,-4.468696111074735,4.448408754137972,304.0,Andrei Kirilenko,2006 - 2007
0.8132780082987552,-9.520394710278424,-6.444348733585684,-3.4407992631340676,-1.714678307276614,241.0,Derrick Rose,2011 - 2012
0.860655737704918,-9.501054693708284,1.3147485236395369,-6.794888936322195,1.075693064839811,488.0,Richard Hamilton,2006 - 2007
0.45454545454545453,-9.055402565156797,-7.328852935336128,-9.866332781373126,-9.866332781373126,11.0,Ognjen Kuzmic,2013 - 2014
0.6865671641791045,-9.054158872972124,-9.215637808120562,-3.483087847854364,1.1426865523781373,67.0,Luc Richard,2013 - 2014
0.7605042016806722,-9.03409207948161,-10.845948211947501,-3.1858476912753986,-7.368861234211067,238.0,Joakim Noah,2009 - 2010
0.8542857142857143,-8.850757705943408,-6.496135664157578,-5.610682799350229,-2.2591438887427557,350.0,Eric Gordon,2008 - 2009
0.8175895765472313,-8.68462677767775,0.9409366722898653,-6.994988547994012,1.023207017709467,307.0,Danilo Gallinari,2009 - 2010
0.5471698113207547,-8.683761201047787,-6.128641668351804,-9.005202406944647,-8.649471370964761,159.0,Steven Adams,2013 - 2014
0.7545454545454545,-8.632178662130173,-8.242618708312875,-5.634634731642336,-8.58009086250945,330.0,David Lee,2008 - 2009
0.7222222222222222,-8.577426803884247,0.0,-7.99495378993149,-7.99495378993149,18.0,Joe Ingles,2015 - 2016
0.7252747252747253,-8.55724766145282,1.1306457883050456,-3.87193378535288,-7.308226710636063,91.0,Gary Forbes,2011 - 2012
0.5616438356164384,-8.513190322200444,1.5479887601852624,-7.524639110593398,-8.86756608010819,292.0,Nene,2013 - 2014
0.8297872340425532,-8.374336391327049,0.18320789365391477,-5.7652745981139475,-1.4294667778946462,94.0,Keyon Dooling,2010 - 2011
0.4444444444444444,-8.173128749806274,-9.534578070929049,-6.972710380004922,-6.972710380004922,9.0,Travis Leslie,2011 - 2012
0.8701298701298701,-8.163758439155771,-8.58860717088325,-2.0510930828676237,2.416767188402872,154.0,Jerryd Bayless,2014 - 2015
0.8178571428571428,-8.049406365822051,1.0117720320481567,-3.0685005415115256,2.309018644202183,280.0,Devin Harris,2006 - 2007
0.7623049219687875,-7.8743922125055406,1.5526440015039498,-7.50553809589519,-0.25665507951634936,833.0,Dwyane Wade,2010 - 2011
0.8275862068965517,-7.784426319567274,0.5591782578274405,-4.414964487269472,-1.356662418612693,29.0,Oleksiy Pecherov,2008 - 2009
0.875,-7.68313703627399,-2.894318293258209,-5.794726129211028,-0.7520866492627363,240.0,Mo Williams,2009 - 2010
0.8571428571428571,-7.654561499605023,-7.401144592082488,-2.107129164227729,3.283932288383596,238.0,Jason Terry,2007 - 2008
0.4444444444444444,-7.6541063588361045,-9.461842782587297,-6.455945015794344,-5.880580870890782,9.0,Larry Owens,2010 - 2011
0.6925465838509317,-7.616822820601726,-5.473742389148924,-1.6271452979016772,2.0084210252293815,322.0,Paul Millsap,2009 - 2010
0.7547169811320755,-7.6000985587756915,2.1789761696225227,-4.726677224638507,-0.8646766495860021,53.0,Matt Bonner,2010 - 2011
0.7389705882352942,-7.457462677018896,0.6050959119637582,-6.033768194554966,-0.16827499491648723,272.0,Greg Monroe,2011 - 2012
0.8240963855421687,-7.397275741060298,0.9361834674970737,-0.3464430616174923,1.2123229121096983,415.0,Corey Maggette,2008 - 2009
0.6808510638297872,-7.3438497279029065,-9.130943857525992,-2.803060601611037,-7.874773580487627,94.0,Robert Sacre,2013 - 2014
0.8304093567251462,-7.33976925665911,-1.1200200452051376,-2.726784083216728,1.7153989367330382,342.0,Mike Bibby,2006 - 2007
0.7432098765432099,-7.265384505577572,-0.3170448028174633,-1.2850150936890827,7.705460716280413,405.0,Ron Artest,2006 - 2007
0.7368421052631579,-7.225213158030613,0.7977783083530596,-2.723486392398243,0.6799428911264016,38.0,Derek Anderson,2007 - 2008
0.7126436781609196,-7.224129605680545,-8.225954438236087,-2.0134474430144422,1.3660021380651557,87.0,Eduardo Najera,2007 - 2008
0.7922077922077922,-7.065300961022757,-7.892296244028373,-4.30185079658186,-5.010729254316658,77.0,Sergio Rodriguez,2008 - 2009
0.775,-7.009573674564855,-8.744067345708416,-7.826246847892165,-6.001536853851121,40.0,O.J. Mayo,2015 - 2016
0.8162291169451074,-6.89680078017966,0.5642805638383379,-0.48637793793426454,-8.431826921943752,419.0,Vince Carter,2007 - 2008
0.625,-6.8889038902273185,-6.423992084376458,-6.77754884925433,-5.495486490412475,32.0,Kurt Thomas,2010 - 2011
0.6,-6.835138548605908,-4.256183879160748,-6.225563467896476,-5.650199322992915,15.0,Kevin Jones,2012 - 2013
0.6533333333333333,-6.752128061259214,-3.502584379271326,0.07640575033212826,-0.35423804946317716,75.0,Kirk Snyder,2006 - 2007
0.7798165137614679,-6.7399655279689625,-0.8367129738148549,-2.903970061064129,-5.110107193901754,109.0,Channing Frye,2007 - 2008
0.35714285714285715,-6.64069867549469,-0.08052165742232731,-5.757866330707049,-5.182502185803489,14.0,DeMarcus Nelson,2008 - 2009
0.7624161073825504,-6.585117404240123,-5.844943750865468,-1.433965145293655,3.3601437078442586,745.0,LeBron James,2013 - 2014
0.7735042735042735,-6.518064161574472,0.4102403872371667,-0.35613967997062446,-0.02137110762552652,234.0,Andrea Bargnani,2009 - 2010
0.5619047619047619,-6.491038457800556,-7.529050573336406,-0.07120289189649043,4.832373553389999,105.0,Kendrick Perkins,2010 - 2011
0.6859903381642513,-6.478507357420142,-8.220263477853052,-4.571616150157013,-2.3874313668971467,207.0,Joakim Noah,2008 - 2009
0.6666666666666666,-6.473745377206619,-8.235686470040562,-4.84380940384564,-4.26844525894208,15.0,Victor Claver,2013 - 2014
0.841726618705036,-6.444135478294015,1.4480603834055046,-3.02563884670883,4.910166019177893,278.0,Ricky Davis,2006 - 2007
0.778125,-6.4026092450286,2.298135237800466,-3.8032296722794854,1.3863345201315838,320.0,Louis Williams,2007 - 2008
0.5537190082644629,-6.38819209329219,1.1060617328915896,0.2720277378390392,7.87577549435747,121.0,Darko Milicic,2007 - 2008
0.8757763975155279,-6.370220676491741,1.0488458394441835,-4.128030187264898,0.3886176480967123,161.0,Sam Cassell,2007 - 2008
0.7142857142857143,-6.324450321934435,1.5568850937381882,-2.060149248556911,1.1954510971975765,84.0,Norris Cole,2014 - 2015
0.56,-6.252024703684633,-7.4228216819431765,-3.245728163113185,-2.469008882702738,25.0,James Michael,2014 - 2015
0.8125,-6.191571100369757,-5.553966996110077,-0.7960132581437165,1.8448113951182847,96.0,Chris Douglas-Roberts,2013 - 2014
0.7619047619047619,-6.164772716606201,1.3561535495019683,-2.8849767300512212,-0.6877521527150066,42.0,Jonny Flynn,2010 - 2011
0.8333333333333334,-6.089808078602207,0.33902055277408394,-2.073461681572052,0.8450548124612425,30.0,James Jones,2009 - 2010
0.6521739130434783,-6.053206165675661,1.4488081212869304,-11.821197779212127,-15.67508443200559,69.0,Dante Cunningham,2011 - 2012
0.8,-6.018928015951687,0.24537932325394252,-2.917378732913292,-0.27386705294865976,25.0,Donald Sloan,2012 - 2013
0.8195488721804511,-5.999307235257049,1.0361108377317123,-2.4243586980179117,0.9689107693056656,133.0,Gary Harris,2015 - 2016
0.8444444444444444,-5.983256219117088,1.6652084786015635,-2.700402753132046,-1.2558855759795975,45.0,Jason Hart,2007 - 2008
0.7142857142857143,-5.9346350610547525,-6.202908011240876,-3.6993009925352425,-2.4988826227338876,28.0,Cartier Martin,2012 - 2013
0.5833333333333334,-5.873890669494667,-3.2075547272898284,-4.67572932645291,-4.67572932645291,12.0,Rasual Butler,2011 - 2012
0.5357142857142857,-5.843657540059581,-0.829404338033072,-8.80517730146255,-7.271988496669991,56.0,Jeff Foster,2010 - 2011
0.8861788617886179,-5.811861396618696,1.5684730100191757,-4.339179553786778,-5.878373323344022,246.0,D.J. Augustin,2013 - 2014
0.5714285714285714,-5.810430388229502,1.3891736113920992,-3.459283728621024,-2.308555438813901,14.0,Eric Williams,2006 - 2007
0.7019230769230769,-5.8050437365039045,-0.04950353396506557,-1.0993464711204126,-1.824770480496582,104.0,Alex Len,2014 - 2015
0.5,-5.790485376261524,0.0,-5.790485376261524,-5.790485376261524,6.0,Brian Scalabrine,2011 - 2012
0.5,-5.790485376261524,0.0,-5.790485376261524,-5.790485376261524,6.0,Donyell Marshall,2008 - 2009
0.7302631578947368,-5.7872348218770355,-1.7113666222345785,-1.1092238792001297,-0.04682620528845405,152.0,Samuel Dalembert,2013 - 2014
0.886435331230284,-5.768136731411317,-6.268156890261565,-2.4887166476698894,2.103085938065391,317.0,Dirk Nowitzki,2014 - 2015
0.59375,-5.758398887627884,1.584801931046897,-1.9112248299049313,-1.239113516432944,32.0,Stephane Lasme,2007 - 2008
0.8015267175572519,-5.729828802092243,0.33999958084515924,1.2307180707714451,5.315590918883913,131.0,Anthony Tolliver,2010 - 2011
0.7072072072072072,-5.727252911470259,-1.3629147807280333,1.1289337665111816,6.24839454132632,222.0,Luis Scola,2014 - 2015
0.5925925925925926,-5.681840284252075,-5.154307966361536,-3.7015983417410894,-3.7015983417410894,27.0,Chris Duhon,2010 - 2011
0.6363636363636364,-5.643247145710035,0.6381978171175362,-5.011084051763078,-5.011084051763078,11.0,Chris Richard,2009 - 2010
0.7564766839378239,-5.548697500923765,-7.26536046072431,-5.68734623842974,3.1088467324418616,193.0,Mark Blount,2006 - 2007
0.59375,-5.544090924516951,-7.831564752767591,-5.227000270503254,-5.227000270503254,32.0,Greg Stiemsma,2013 - 2014
0.38181818181818183,-5.539462587701621,0.47535789974870113,1.1202006586864854,7.7869215297799315,220.0,Brendan Haywood,2010 - 2011
0.7368421052631579,-5.538119441455905,-7.26688546704915,-8.872943924844563,-5.813149231978301,95.0,MarShon Brooks,2012 - 2013
0.7142857142857143,-5.536807923176301,0.025874422241386696,-3.1551004462959185,-0.6748767444122947,28.0,David Wesley,2006 - 2007
0.7987012987012987,-5.423164219907335,0.8422599635479173,-1.4771554404979952,4.230150452319776,462.0,John Wall,2013 - 2014
0.7517241379310344,-5.3651212671306325,1.4732064233317033,-2.3336502069770404,4.363926801769651,145.0,Wesley Matthews,2014 - 2015
0.8484848484848485,-5.306655349219227,-1.9961398546563487,-0.4390366658948892,0.23083040337655802,495.0,James Harden,2011 - 2012
0.7560975609756098,-5.287073320343694,-6.436523011305923,-3.186411333840084,-3.2033955754671837,82.0,Terrence Ross,2015 - 2016
0.824,-5.249806835743968,-4.884161400742627,-1.0703156643420186,-3.1143178691388727,125.0,Jason Kidd,2008 - 2009
0.7727272727272727,-5.237920710633574,0.5483558098958099,-0.3225470482249051,5.147368285317981,88.0,Jonas Jerebko,2012 - 2013
0.6896551724137931,-5.20457294779338,-2.73212776800208,-3.761765599459352,-5.188841339874692,29.0,Hamed Haddadi,2010 - 2011
0.825,-5.176294058071477,-6.436841872235647,-1.9103665920124797,3.6320369642639037,160.0,Joey Graham,2008 - 2009
0.8317757009345794,-5.136428973143438,-3.884401330529613,-0.7029953252353494,5.4555811109003685,214.0,Rodney Stuckey,2007 - 2008
0.7834645669291339,-5.132163653183284,-6.20715227770188,2.146500447792903,11.337336776319091,254.0,Jermaine O'Neal,2008 - 2009
0.7992700729927007,-5.124217897155802,-4.181396041966877,1.0030439204024333,-1.7307668080491112,274.0,Mehmet Okur,2007 - 2008
0.8235294117647058,-5.094536782849858,-1.5829846217480252,-0.5730788949712178,2.5421998042737926,68.0,Kyle Korver,2011 - 2012
0.68,-5.09050740405624,-0.43109370134502,-2.236001420916722,0.8870939072622264,100.0,Otto Porter,2014 - 2015
0.8656462585034014,-5.087284287317857,0.15326795565886187,0.9253237172268882,7.094773242795611,588.0,Isaiah Thomas,2015 - 2016
0.5,-5.069650654674452,-4.1522314094205,-5.88058087089078,-5.88058087089078,8.0,Maurice Ager,2008 - 2009
0.5897435897435898,-5.069448339823822,-3.0124317381006165,-0.578305885303223,5.464165255978386,78.0,Mardy Collins,2006 - 2007
0.75,-5.05412373915874,1.6952923848255637,1.419304950919468,1.8486573558970463,332.0,Jason Richardson,2007 - 2008
0.7935943060498221,-5.013000260776835,1.6337090923699407,0.796017747583619,-3.3145235300906393,281.0,Shawn Marion,2006 - 2007
0.7142857142857143,-5.001941673321809,1.500769470657275,-4.643597327480563,-0.9558463867464297,42.0,Terrence Ross,2012 - 2013
0.7791878172588832,-4.963026832127412,1.1710047306527258,1.4287245428425308,2.832380580454071,394.0,Paul George,2012 - 2013
0.695067264573991,-4.959622041450302,-1.0739649807489968,1.6282480421823493,11.290395252010569,223.0,DeShawn Stevenson,2006 - 2007
0.7777777777777778,-4.951303154202179,1.347638318447764,-2.493053558635353,2.7034077498582576,90.0,Jerryd Bayless,2015 - 2016
0.7977099236641222,-4.916552414892749,-0.8154172829035247,0.0625717372535064,9.529201380953054,262.0,Arron Afflalo,2011 - 2012
0.9047619047619048,-4.893439802049443,-5.2382201239315584,-2.782936633708715,-2.207572488805152,21.0,Brian Cook,2007 - 2008
0.7992831541218638,-4.795998893718149,-3.0803281093191117,-1.145209862788704,7.403129127949683,279.0,Zydrunas Ilgauskas,2007 - 2008
0.725,-4.790020364510838,1.7063188909344262,-0.05471245601358987,3.245208104617234,240.0,Matt Harpring,2007 - 2008
0.828125,-4.7834673609476965,-4.298771673217942,-0.06289636947983013,6.509507847588125,128.0,D.J. Augustin,2012 - 2013
0.6063829787234043,-4.783037940662837,-4.430298363520194,-2.4258565085907264,0.006558175397884725,94.0,Chuck Hayes,2006 - 2007
0.75,-4.77458377597188,-0.12198053674915599,-2.131072096007248,-2.131072096007248,12.0,Luke Harangody,2011 - 2012
0.7352941176470589,-4.758905462689015,-1.4617631130805435,-4.313158776773207,-3.752897811397567,34.0,Keyon Dooling,2011 - 2012
0.7301587301587301,-4.704717026092368,-2.879948761084009,-6.482171155054175,-1.4559120619771448,63.0,Shelden Williams,2008 - 2009
0.7151079136690648,-4.683164421451352,-4.8641784505948635,-3.9104652802348028,7.8020912772431075,695.0,LeBron James,2014 - 2015
0.6285714285714286,-4.6601507037188625,-5.108957488630722,-6.027893434264385,-6.027893434264385,35.0,E'Twaun Moore,2015 - 2016
0.4444444444444444,-4.646999467612279,-4.646999467612279,-4.646999467612279,-4.646999467612279,9.0,Darius Morris,2014 - 2015
0.7941176470588235,-4.626450330283269,1.3113756832546386,-2.656968085574192,-0.8492316618230049,34.0,Roger Mason,2009 - 2010
0.8204081632653061,-4.616486310515654,-5.7991204270187495,-9.531492629248078,-6.196883664764016,490.0,Michael Redd,2007 - 2008
0.8302752293577982,-4.608908056121322,-5.6621252270012405,-6.086256930830416,-2.76558640393273,218.0,Reggie Jackson,2014 - 2015
