TIME	TEAM	PLAY	SCORE
3:09		James Michael McAdoo enters the game for Klay Thompson	106 - 127	
3:09		Shaun Livingston enters the game for Stephen Curry	106 - 127	
3:00		Ian Clark misses 26-foot three point pullup jump shot	106 - 127	
2:59		Deron Williams defensive rebound	106 - 127	
2:50		Channing Frye misses 25-foot three point jumper	106 - 127	
2:49		Dahntay Jones offensive rebound	106 - 127	
2:31		Derrick Williams misses layup	106 - 127	
2:30		Patrick McCaw defensive rebound	106 - 127	
2:09		Matt Barnes misses 27-foot three point jumper	106 - 127	
2:08		Dahntay Jones defensive rebound	106 - 127	
1:52		Deron Williams misses 26-foot three point jumper	106 - 127	
1:52		Shaun Livingston defensive rebound	106 - 127	
1:31		Shaun Livingston misses 17-foot jumper	106 - 127	
1:31		Channing Frye defensive rebound	106 - 127	
1:25		Derrick Williams makes two point shot (Deron Williams assists)	108 - 127	
1:04		James Michael McAdoo misses 17-foot jumper	108 - 127	
1:02		James Jones defensive rebound	108 - 127	
0:57		Dahntay Jones makes two point shot	110 - 127	
0:37		James Michael McAdoo makes 13-foot two point shot (Shaun Livingston assists)	110 - 129	
0:26		Derrick Williams makes 27-foot three pointer (Deron Williams assists)	113 - 129	
0:03		Ian Clark makes 28-foot three pointer	113 - 132	
0:00		End of the 4th Quarter	113 - 132	
0:00		End of Game	113 - 132	
