TIME	TEAM	PLAY	SCORE
2:20		LeBron James makes free throw 1 of 1	27 - 31	
2:11		Deron Williams personal foul (Stephen Curry draws the foul)	27 - 31	
2:11		Stephen Curry makes free throw 1 of 2	27 - 32	
2:11		Stephen Curry makes free throw 2 of 2	27 - 33	
1:51		Deron Williams misses 25-foot three point jumper	27 - 33	
1:51		JaVale McGee defensive rebound	27 - 33	
1:39		Draymond Green misses 26-foot three point jumper	27 - 33	
1:39		Channing Frye defensive rebound	27 - 33	
1:30		Channing Frye makes 22-foot jumper (LeBron James assists)	29 - 33	
1:20		Deron Williams personal foul (Stephen Curry draws the foul)	29 - 33	
1:20		Stephen Curry makes free throw 1 of 2	29 - 34	
1:20		Patrick McCaw enters the game for JaVale McGee	29 - 34	
1:20		Stephen Curry makes free throw 2 of 2	29 - 35	
1:05		LeBron James misses layup	29 - 35	
1:04		Draymond Green defensive rebound	29 - 35	
1:00		Shaun Livingston makes dunk (Andre Iguodala assists)	29 - 37	
0:46		Richard Jefferson makes 1-foot layup (Channing Frye assists)	31 - 37	
0:37		Draymond Green bad pass (Kyle Korver steals)	31 - 37	
0:29		Draymond Green shooting foul (Kyle Korver draws the foul)	31 - 37	
0:29		Kyle Korver makes free throw 1 of 3	32 - 37	
0:29		Kyle Korver makes free throw 2 of 3	33 - 37	
0:29		Kevin Durant enters the game for Draymond Green	33 - 37	
0:29		Ian Clark enters the game for Shaun Livingston	33 - 37	
0:29		JR Smith enters the game for Channing Frye	33 - 37	
0:29		Iman Shumpert enters the game for LeBron James	33 - 37	
0:29		Kyle Korver makes free throw 3 of 3	34 - 37	
0:05		Kevin Durant makes 26-foot three pointer (Ian Clark assists)	34 - 40	
0:01		JR Smith traveling	34 - 40	
0:01		Stephen Curry misses 64-foot three point jumper	34 - 40	
0:00		Warriors offensive team rebound	34 - 40	
0:00		End of the 1st Quarter	34 - 40	
2nd Quarter
11:49		Draymond Green shooting foul (Kyrie Irving draws the foul)	34 - 40	
11:49		Kyrie Irving misses free throw 1 of 2	34 - 40	
11:49		Cavaliers offensive team rebound	34 - 40	
11:49		Kevin Durant enters the game for Draymond Green	34 - 40	
11:49		Kyrie Irving makes free throw 2 of 2	35 - 40	
11:25		Kevin Durant misses 14-foot jumper	35 - 40	
11:25		Deron Williams defensive rebound	35 - 40	
11:18		Kyrie Irving misses two point shot	35 - 40	
11:17		Ian Clark defensive rebound	35 - 40	
11:07		David West makes 18-foot jumper (Andre Iguodala assists)	35 - 42	
10:52		Kyrie Irving out of bounds lost ball turnover	35 - 42	
10:37		Kevin Durant makes 14-foot two point shot (Andre Iguodala assists)	35 - 44	
10:25		Andre Iguodala blocks Channing Frye 's 4-foot jumper	35 - 44	
10:23		Ian Clark defensive rebound	35 - 44	
10:15		Ian Clark misses 26-foot three point jumper	35 - 44	
10:15		Channing Frye defensive rebound	35 - 44	
10:03		David West blocks Iman Shumpert 's 2-foot layup	35 - 44	
10:03		Kevin Durant defensive rebound	35 - 44	
9:56		Klay Thompson makes 27-foot three pointer (Ian Clark assists)	35 - 47	
9:56		Cavaliers Full timeout	35 - 47	
9:56		LeBron James enters the game for Channing Frye	35 - 47	
9:56		Kevin Love enters the game for Deron Williams	35 - 47	
9:42		Kyle Korver makes 26-foot three pointer (LeBron James assists)	38 - 47	
9:23		Ian Clark makes 27-foot three pointer (Andre Iguodala assists)	38 - 50	
9:07		Iman Shumpert makes 19-foot jumper (LeBron James assists)	40 - 50	
8:49		Ian Clark lost ball turnover (Kevin Love steals)	40 - 50	
