TIME	TEAM	PLAY	SCORE
9:34		Steve Blake Out-of-Bounds Bad Pass Turnover	33 - 30	
9:21		Kyrie Irving makes driving layup	33 - 32	
9:21		Steve Blake shooting foul (Kyrie Irving draws the foul)	33 - 32	
9:21		Kyrie Irving makes free throw 1 of 1	33 - 33	
9:08		Timofey Mozgov blocks Tobias Harris's layup	33 - 33	
9:08		Cavaliers defensive team rebound	33 - 33	
8:51		Kyrie Irving misses 7-foot two point shot	33 - 33	
8:51		Stanley Johnson defensive rebound	33 - 33	
8:32		Reggie Bullock makes 23-foot three point jumper (Steve Blake assists)	36 - 33	
8:12		Timofey Mozgov misses jumper	36 - 33	
8:12		Steve Blake defensive rebound	36 - 33	
8:02		Stanley Johnson makes 24-foot three point jumper (Steve Blake assists)	39 - 33	
8:02		Cavaliers Full timeout	39 - 33	
8:02		Kevin Love enters the game for Iman Shumpert	39 - 33	
8:02		LeBron James enters the game for Richard Jefferson	39 - 33	
7:37		LeBron James misses 30-foot three point jumper	39 - 33	
7:35		Cavaliers offensive team rebound	39 - 33	
7:26		Kevin Love makes 14-foot two point shot	39 - 35	
7:26		Reggie Bullock shooting foul (Kevin Love draws the foul)	39 - 35	
7:26		J.R. Smith enters the game for Matthew Dellavedova	39 - 35	
7:26		Marcus Morris enters the game for Stanley Johnson	39 - 35	
7:26		Reggie Jackson enters the game for Steve Blake	39 - 35	
7:26		Tristan Thompson enters the game for Timofey Mozgov	39 - 35	
7:26		Kevin Love makes free throw 1 of 1	39 - 36	
7:07		Marcus Morris misses 16-foot jumper	39 - 36	
7:05		LeBron James defensive rebound	39 - 36	
6:48		Kevin Love misses layup	39 - 36	
6:47		Kevin Love makes tip shot	39 - 38	
6:47		Kevin Love offensive rebound	39 - 36	
6:24		Tobias Harris lost ball turnover (LeBron James steals)	39 - 38	
6:16		Kyrie Irving makes 26-foot three point jumper (J.R. Smith assists)	39 - 41	
6:07		Pistons Full timeout	39 - 41	
6:07		Andre Drummond enters the game for Reggie Bullock	39 - 41	
6:07		Kentavious Caldwell-Pope enters the game for Aron Baynes	39 - 41	
5:54		Marcus Morris makes 25-foot three point jumper (Kentavious Caldwell-Pope assists)	42 - 41	
5:43		Reggie Jackson shooting foul (Kevin Love draws the foul)	42 - 41	
5:43		Kevin Love makes free throw 1 of 2	42 - 42	
5:43		Kevin Love makes free throw 2 of 2	42 - 43	
5:22		Andre Drummond makes 7-foot two point shot	44 - 43	
4:56		Kevin Love misses layup	44 - 43	
4:56		Cavaliers offensive team rebound	44 - 43	
4:56		Andre Drummond loose ball foul (Tristan Thompson draws the foul)	44 - 43	
4:50		Tobias Harris blocks Kevin Love 's 3-foot layup	44 - 43	
4:48		Kevin Love offensive rebound	44 - 43	
4:47		Kevin Love makes two point shot	44 - 45	
4:37		Tristan Thompson personal foul (Reggie Jackson draws the foul)	44 - 45	
4:37		Matthew Dellavedova enters the game for Kyrie Irving	44 - 45	
4:26		Marcus Morris makes 25-foot three point jumper	47 - 45	
4:03		LeBron James makes layup (Matthew Dellavedova assists)	47 - 47	
3:51		Matthew Dellavedova personal foul (Reggie Jackson draws the foul)	47 - 47	
3:39		Reggie Jackson misses 27-foot three point jumper	47 - 47	
3:38		Andre Drummond offensive rebound	47 - 47	
3:34		Andre Drummond misses shot	47 - 47	
3:31		Kevin Love defensive rebound	47 - 47	
3:23		LeBron James misses finger roll layup	47 - 47	
3:20		Tobias Harris defensive rebound	47 - 47	
3:12		Andre Drummond misses 11-foot hook shot	47 - 47	
3:10		Kevin Love defensive rebound	47 - 47	
3:03		Kevin Love misses three point jumper	47 - 47	
3:03		Tristan Thompson offensive rebound	47 - 47	
